time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-30 00:30:00",0,0,0,351034.56,351061.75,27.17,18973.09,2516.83,0.44,12340.61,368722.78,369153.63,430.85,0.07,0.09,0.11,0.63,343.51,184.32,1.37,60.02,0.29,0.07,0.30,28.67,0.52,28.67,-15.96,-1.61,15.96,144687.36,147763.30,58611.09,4.66,4.35,18.17,7379.07,8842.52,2751.50,239.45,81.59,2195.79,0.02,0.41,0.01,6030.58,5437.52,872.52,151273.61,155390.27,60485.52,241.42,83.96,2197.47,0.03,0.05,0,0.01,0.08,0,0.03,0.09,0,0.90,0.51,1.00,477.68,276.63,276.22,276.18,276.64,0.15,1.87,2.21,0.04
"2023-09-30 00:45:00",0,0,0,351034.59,351061.78,27.17,18973.13,2516.83,0.44,12340.61,368722.81,369153.66,430.85,0.01,0.23,0.23,0.05,342.88,183.99,0.29,60.01,0.06,0.10,0.12,28.67,0.52,28.67,-15.96,-1.61,15.96,144687.36,147763.30,58611.09,4.66,4.35,18.17,7379.08,8842.55,2751.50,239.45,81.59,2195.79,0.02,0.41,0.01,6030.58,5437.52,872.52,151273.61,155390.28,60485.52,241.42,83.96,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.07,1.00,476.90,276.08,275.99,275.94,276.09,0.15,0.34,0.54,0
"2023-09-30 01:00:00",0,0,0,351034.59,351061.78,27.17,18973.19,2516.83,0.44,12340.61,368722.88,369153.72,430.85,0.02,0.22,0.22,0.08,343.25,184.17,0.29,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144687.36,147763.30,58611.09,4.66,4.35,18.17,7379.11,8842.58,2751.50,239.45,81.59,2195.79,0.02,0.41,0.01,6030.58,5437.52,872.52,151273.64,155390.33,60485.52,241.42,83.96,2197.47,0.00,0.01,0,0.08,0.14,0,0.08,0.14,0,0.05,0.09,1.00,477.34,276.35,276.05,276.00,276.35,0.15,0.32,0.53,0.01
