time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-15 02:30:00",0,0,0,353519.50,353546.72,27.20,19126.20,2517.78,0.48,12541.13,371358.25,371789.19,430.95,0.01,0.23,0.23,0.05,343.58,184.46,0.29,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145851.20,149084.39,58611.09,4.68,4.36,18.17,7436.62,8938.07,2751.50,240.37,81.62,2195.79,0.02,0.44,0.01,6107.05,5561.57,872.52,152495.27,156804.53,60485.52,242.35,84.03,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.07,1.00,477.46,276.85,276.42,276.37,276.86,0.15,0.34,0.53,0.01
"2023-11-15 02:45:00",0,0,0,353519.50,353546.72,27.20,19126.25,2517.78,0.48,12541.13,371358.28,371789.22,430.95,0.01,0.23,0.23,0.06,343.92,184.68,0.29,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145851.20,149084.39,58611.09,4.68,4.36,18.17,7436.65,8938.11,2751.50,240.37,81.62,2195.79,0.02,0.44,0.01,6107.05,5561.57,872.52,152495.30,156804.56,60485.52,242.35,84.03,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.08,1.00,477.84,277.17,276.74,276.70,277.18,0.15,0.34,0.53,0
"2023-11-15 03:00:00",0,0,0,353519.50,353546.72,27.20,19126.31,2517.78,0.48,12541.13,371358.38,371789.31,430.95,0.01,0.24,0.24,0.05,344.26,184.83,0.30,59.94,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145851.20,149084.39,58611.09,4.68,4.36,18.17,7436.67,8938.14,2751.50,240.37,81.62,2195.79,0.02,0.44,0.01,6107.05,5561.57,872.52,152495.31,156804.59,60485.52,242.35,84.03,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.15,0,0.03,0.06,1.00,478.40,277.38,277.01,276.97,277.38,0.15,0.35,0.55,0
