time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-16 20:45:00",0,0,0,350256.88,350284.03,27.17,18934.20,2516.62,0.43,12275.75,367906.22,368337.03,430.83,11.32,-0.95,11.38,1.00,345.28,185.50,14.45,60.01,11.72,-0.99,11.76,28.67,0.52,28.67,-15.96,-1.61,15.96,144317.72,147355.20,58611.09,4.65,4.35,18.17,7364.51,8818.20,2751.50,239.25,81.58,2195.79,0.02,0.40,0.01,6005.04,5398.19,872.52,150889.08,154958.00,60485.52,241.22,83.95,2197.47,5.25,6.07,0,-0.37,-0.58,0,5.26,6.10,0,1.00,1.00,1.00,479.55,279.17,277.23,277.19,279.18,0.15,20.43,22.57,0.29
"2023-09-16 21:00:00",0,0,0,350259.66,350286.81,27.17,18934.20,2516.62,0.43,12275.99,367909.00,368339.81,430.83,10.96,-0.95,11.00,1.00,346.30,186.04,13.99,60.01,11.27,-0.97,11.31,28.67,0.52,28.67,-15.96,-1.61,15.96,144319.00,147356.69,58611.09,4.65,4.35,18.17,7364.51,8818.20,2751.50,239.25,81.58,2195.79,0.02,0.40,0.01,6005.14,5398.33,872.52,150890.38,154959.52,60485.52,241.22,83.95,2197.47,5.08,5.88,0,-0.38,-0.58,0,5.10,5.91,0,1.00,1.00,1.00,480.91,279.75,278.24,278.18,279.77,0.15,19.82,21.87,0.28
"2023-09-16 21:15:00",0,0,0,350262.31,350289.47,27.17,18934.20,2516.62,0.43,12276.23,367911.69,368342.50,430.83,10.37,-0.93,10.41,1.00,346.48,186.09,13.29,60.02,10.85,-0.95,10.89,28.67,0.52,28.67,-15.96,-1.61,15.96,144320.23,147358.13,58611.09,4.65,4.35,18.17,7364.51,8818.20,2751.50,239.25,81.58,2195.79,0.02,0.40,0.01,6005.23,5398.48,872.52,150891.61,154960.95,60485.52,241.22,83.95,2197.47,4.81,5.56,0,-0.37,-0.55,0,4.82,5.59,0,1.00,1.00,1.00,481.28,279.81,278.35,278.30,279.82,0.15,18.86,20.74,0.27
