time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-10-06 23:45:00",0,0,0,351615.13,351642.31,27.18,18994.33,2516.96,0.44,12392.52,369325.53,369756.41,430.86,1.73,-0.20,1.75,0.99,343.53,184.37,2.71,60.02,2.61,-0.28,2.62,28.67,0.52,28.67,-15.96,-1.61,15.96,144962.38,148068.84,58611.09,4.66,4.35,18.17,7387.10,8855.74,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6051.51,5468.49,872.52,151557.14,155709.58,60485.52,241.55,83.97,2197.47,0.80,0.94,0,-0.05,-0.15,0,0.80,0.95,0,1.00,0.99,1.00,477.61,276.69,276.30,276.25,276.70,0.15,3.76,4.29,0.06
"2023-10-07 00:00:00",0,0,0,351615.41,351642.59,27.18,18994.33,2516.96,0.44,12392.56,369325.81,369756.69,430.86,0.73,-0.11,0.73,0.99,343.76,184.46,1.75,60.01,1.66,-0.19,1.67,28.67,0.52,28.67,-15.96,-1.61,15.96,144962.50,148069.02,58611.09,4.66,4.35,18.17,7387.10,8855.74,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6051.52,5468.52,872.52,151557.27,155709.77,60485.52,241.55,83.97,2197.47,0.23,0.50,0,-0.01,-0.10,0,0.23,0.51,0,1.00,0.98,1.00,478.02,276.86,276.41,276.36,276.88,0.15,2.23,2.98,0.05
"2023-10-07 00:15:00",0,0,0,351615.56,351642.75,27.18,18994.34,2516.96,0.44,12392.58,369325.94,369756.81,430.86,0.11,-0.02,0.11,0.99,343.85,184.51,1.47,59.96,0.69,-0.10,0.70,28.67,0.52,28.67,-15.96,-1.61,15.96,144962.53,148069.09,58611.09,4.66,4.35,18.17,7387.10,8855.74,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6051.52,5468.54,872.52,151557.28,155709.84,60485.52,241.55,83.97,2197.47,0.03,0.09,0,0.02,-0.04,0,0.04,0.09,0,0.90,0.92,1.00,478.18,276.78,276.82,276.78,276.78,0.15,2.08,2.31,0.04
