time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-11 22:15:00",0,0,0,349812.28,349839.44,27.16,18920.19,2516.56,0.43,12238.14,367446.97,367877.78,430.82,3.67,-0.29,3.68,1.00,346.52,186.03,4.75,60.02,4.10,-0.31,4.11,28.67,0.52,28.67,-15.96,-1.61,15.96,144106.91,147121.44,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.50,239.20,81.58,2195.79,0.02,0.40,0.01,5990.13,5375.49,872.52,150672.66,154715.11,60485.52,241.17,83.94,2197.47,1.69,1.97,0,-0.09,-0.20,0,1.70,1.98,0,1.00,0.99,1.00,481.58,279.27,278.71,278.66,279.29,0.15,6.68,7.49,0.10
"2023-09-11 22:30:00",0,0,0,349813.28,349840.44,27.16,18920.19,2516.56,0.43,12238.22,367448.00,367878.81,430.82,4.60,-0.46,4.63,1.00,345.80,185.73,6.16,60.02,3.69,-0.29,3.70,28.67,0.52,28.67,-15.96,-1.61,15.96,144107.36,147121.97,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.50,239.20,81.58,2195.79,0.02,0.40,0.01,5990.16,5375.55,872.52,150673.13,154715.64,60485.52,241.17,83.94,2197.47,2.14,2.46,0,-0.11,-0.35,0,2.15,2.48,0,1.00,0.99,1.00,480.31,278.86,278.24,278.15,278.88,0.15,8.22,10.13,0.13
"2023-09-11 22:45:00",0,0,0,349814.50,349841.66,27.16,18920.19,2516.56,0.43,12238.32,367449.19,367880.00,430.82,8.49,-0.76,8.52,1.00,345.29,185.40,10.98,59.99,4.72,-0.40,4.74,28.67,0.52,28.67,-15.96,-1.61,15.96,144107.92,147122.61,58611.09,4.65,4.34,18.17,7359.21,8809.48,2751.50,239.20,81.58,2195.79,0.02,0.40,0.01,5990.19,5375.61,872.52,150673.69,154716.30,60485.52,241.17,83.94,2197.47,3.97,4.50,0,-0.27,-0.45,0,3.97,4.53,0,1.00,1.00,1.00,479.79,278.62,277.45,277.40,278.63,0.15,15.50,17.25,0.21
