time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-10-19 16:15:00",0,0,0,352248.84,352276.03,27.19,19036.00,2517.30,0.45,12450.56,370000.75,370431.63,430.88,9.64,-0.82,9.67,1.00,345.13,185.40,12.22,60.01,8.96,-0.82,8.99,28.67,0.52,28.67,-15.96,-1.61,15.96,145259.09,148405.81,58611.09,4.67,4.35,18.17,7402.69,8881.82,2751.50,239.91,81.60,2195.79,0.02,0.42,0.01,6073.54,5504.51,872.52,151869.69,156072.38,60485.52,241.88,83.98,2197.47,4.46,5.17,0,-0.30,-0.53,0,4.47,5.20,0,1.00,0.99,1.00,478.96,278.65,277.19,277.15,278.66,0.15,17.01,19.44,0.21
"2023-10-19 16:30:00",0,0,0,352251.25,352278.44,27.19,19036.00,2517.30,0.45,12450.79,370003.25,370434.13,430.88,10.10,-1.00,10.15,1.00,344.85,185.21,13.03,60.01,9.58,-0.87,9.62,28.67,0.52,28.67,-15.96,-1.61,15.96,145260.25,148407.13,58611.09,4.67,4.35,18.17,7402.69,8881.82,2751.50,239.91,81.60,2195.79,0.02,0.42,0.01,6073.63,5504.64,872.52,151870.84,156073.69,60485.52,241.88,83.98,2197.47,4.66,5.43,0,-0.41,-0.59,0,4.68,5.46,0,1.00,0.99,1.00,479.03,278.70,276.82,276.78,278.71,0.15,18.46,20.41,0.22
"2023-10-19 16:45:00",0,0,0,352253.84,352281.03,27.19,19036.00,2517.30,0.45,12451.04,370005.84,370436.72,430.88,10.68,-1.00,10.73,1.00,345.05,185.35,13.70,59.94,10.12,-0.99,10.17,28.67,0.52,28.67,-15.96,-1.61,15.96,145261.45,148408.52,58611.09,4.67,4.35,18.17,7402.69,8881.82,2751.50,239.91,81.60,2195.79,0.02,0.42,0.01,6073.74,5504.79,872.52,151872.05,156075.09,60485.52,241.88,83.98,2197.47,4.97,5.71,0,-0.42,-0.58,0,4.99,5.74,0,1.00,0.99,1.00,479.22,278.83,277.10,277.06,278.85,0.15,19.49,21.36,0.23
