time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-19 00:30:00",0,0,0,350449.72,350476.88,27.17,18939.94,2516.64,0.43,12291.49,368105.03,368535.88,430.83,0.37,0.07,0.38,0.98,348.04,186.84,1.51,60.02,1.71,-0.03,1.71,28.67,0.52,28.67,-15.96,-1.61,15.96,144410.03,147455.75,58611.09,4.65,4.35,18.17,7366.68,8821.77,2751.50,239.27,81.58,2195.79,0.02,0.40,0.01,6011.40,5407.58,872.52,150983.70,155062.27,60485.52,241.24,83.95,2197.47,0.17,0.21,0,0.01,0.06,0,0.17,0.22,0,1.00,0.96,1.00,483.71,280.22,280.18,280.13,280.24,0.15,2.10,2.40,0.04
"2023-09-19 00:45:00",0,0,0,350449.78,350476.94,27.17,18939.96,2516.64,0.43,12291.49,368105.13,368535.97,430.83,0.11,0.10,0.15,0.75,348.17,186.92,1.41,60.01,0.40,0.08,0.41,28.67,0.52,28.67,-15.96,-1.61,15.96,144410.08,147455.78,58611.09,4.65,4.35,18.17,7366.68,8821.79,2751.50,239.27,81.58,2195.79,0.02,0.40,0.01,6011.40,5407.58,872.52,150983.73,155062.31,60485.52,241.24,83.95,2197.47,0.05,0.07,0,0.02,0.08,0,0.05,0.10,0,0.92,0.64,1.00,483.88,280.37,280.27,280.23,280.37,0.15,1.95,2.24,0.03
"2023-09-19 01:00:00",0,0,0,350449.81,350476.97,27.17,18939.98,2516.64,0.43,12291.49,368105.16,368536.00,430.83,0.03,0.08,0.08,0.35,347.99,186.76,1.42,60.01,0.11,0.10,0.15,28.67,0.52,28.67,-15.96,-1.61,15.96,144410.08,147455.80,58611.09,4.65,4.35,18.17,7366.68,8821.81,2751.50,239.27,81.58,2195.79,0.02,0.40,0.01,6011.40,5407.58,872.52,150983.73,155062.33,60485.52,241.24,83.95,2197.47,0.01,0.02,0,0.01,0.07,0,0.02,0.07,0,0.76,0.25,1.00,483.78,280.24,279.94,279.89,280.24,0.15,1.98,2.24,0.04
