time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-10-06 18:30:00",0,0,0,351566.31,351593.50,27.18,18994.33,2516.96,0.44,12387.37,369276.41,369707.28,430.86,12.51,-1.22,12.57,1.00,344.72,185.21,15.93,60.01,12.50,-1.22,12.55,28.67,0.52,28.67,-15.96,-1.61,15.96,144939.41,148042.98,58611.09,4.66,4.35,18.17,7387.10,8855.74,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6049.44,5465.42,872.52,151534.08,155683.55,60485.52,241.55,83.97,2197.47,6.01,6.50,0,-0.53,-0.70,0,6.03,6.53,0,1.00,0.99,1.00,478.66,278.58,276.92,276.86,278.61,0.15,23.18,24.33,0.28
"2023-10-06 18:45:00",0,0,0,351569.41,351596.59,27.18,18994.33,2516.96,0.44,12387.68,369279.53,369710.41,430.86,12.50,-1.23,12.56,1.00,344.35,184.99,15.98,59.99,12.47,-1.23,12.53,28.67,0.52,28.67,-15.96,-1.61,15.96,144940.91,148044.59,58611.09,4.66,4.35,18.17,7387.10,8855.74,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6049.57,5465.59,872.52,151535.58,155685.17,60485.52,241.55,83.97,2197.47,6.03,6.47,0,-0.53,-0.70,0,6.05,6.51,0,1.00,0.99,1.00,478.22,278.27,276.56,276.52,278.28,0.15,23.34,24.33,0.29
"2023-10-06 19:00:00",0,0,0,351572.53,351599.72,27.18,18994.33,2516.96,0.44,12387.99,369282.69,369713.56,430.86,12.54,-1.25,12.60,1.00,343.81,184.71,16.03,60.02,12.48,-1.24,12.54,28.67,0.52,28.67,-15.96,-1.61,15.96,144942.42,148046.22,58611.09,4.66,4.35,18.17,7387.10,8855.74,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6049.70,5465.77,872.52,151537.09,155686.80,60485.52,241.55,83.97,2197.47,6.08,6.47,0,-0.54,-0.71,0,6.11,6.50,0,1.00,0.99,1.00,477.52,277.82,276.26,276.20,277.83,0.15,23.53,24.32,0.28
