time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-28 02:45:00",0,0,0,350901.88,350929.06,27.17,18967.45,2516.79,0.44,12329.27,368584.41,369015.25,430.85,0.01,0.24,0.24,0.06,346.02,185.68,0.30,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144624.63,147693.34,58611.09,4.66,4.35,18.17,7376.99,8838.97,2751.50,239.41,81.59,2195.79,0.02,0.41,0.01,6026.05,5430.71,872.52,151208.69,155316.78,60485.52,241.38,83.96,2197.47,0.00,0.01,0,0.09,0.15,0,0.09,0.15,0,0.04,0.07,1.00,481.14,278.65,278.28,278.23,278.65,0.15,0.34,0.55,0.01
"2023-09-28 03:00:00",0,0,0,350901.91,350929.09,27.17,18967.51,2516.79,0.44,12329.27,368584.47,369015.31,430.85,0.01,0.23,0.24,0.05,346.17,185.76,0.30,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144624.63,147693.34,58611.09,4.66,4.35,18.17,7377.01,8839.00,2751.50,239.41,81.59,2195.79,0.02,0.41,0.01,6026.05,5430.71,872.52,151208.73,155316.81,60485.52,241.38,83.96,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.07,1.00,481.33,278.77,278.42,278.37,278.78,0.15,0.34,0.54,0.01
"2023-09-28 03:15:00",0,0,0,350901.91,350929.09,27.17,18967.56,2516.79,0.44,12329.27,368584.53,369015.38,430.85,0.02,0.23,0.23,0.07,346.84,186.12,0.29,60.06,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144624.63,147693.36,58611.09,4.66,4.35,18.17,7377.03,8839.04,2751.50,239.41,81.59,2195.79,0.02,0.41,0.01,6026.05,5430.71,872.52,151208.75,155316.84,60485.52,241.38,83.96,2197.47,0.00,0.01,0,0.08,0.14,0,0.08,0.14,0,0.06,0.08,1.00,482.26,279.40,278.84,278.78,279.42,0.15,0.32,0.54,0.01
