time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-10-06 11:45:00",0,0,0,351525.31,351552.50,27.18,18993.91,2516.96,0.44,12383.45,369234.88,369665.75,430.86,0.01,0.23,0.23,0.06,344.55,184.87,0.29,59.99,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144920.11,148021.30,58611.09,4.66,4.35,18.17,7386.95,8855.46,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6047.86,5463.07,872.52,151514.55,155661.48,60485.52,241.55,83.97,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.08,1.00,479.15,277.27,277.23,277.17,277.28,0.15,0.34,0.54,0
"2023-10-06 12:00:00",0,0,0,351525.31,351552.50,27.18,18993.97,2516.96,0.44,12383.45,369234.91,369665.78,430.86,0.01,0.24,0.24,0.04,344.86,185.06,0.30,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144920.11,148021.30,58611.09,4.66,4.35,18.17,7386.97,8855.50,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6047.86,5463.07,872.52,151514.56,155661.52,60485.52,241.55,83.97,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.01,0.06,1.00,479.50,277.58,277.49,277.43,277.59,0.15,0.35,0.54,0.01
"2023-10-06 12:15:00",0,0,0,351525.31,351552.50,27.18,18994.03,2516.96,0.44,12383.45,369234.97,369665.84,430.86,0.01,0.23,0.23,0.06,344.84,185.09,0.29,59.94,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,144920.11,148021.30,58611.09,4.66,4.35,18.17,7387.00,8855.54,2751.50,239.57,81.59,2195.79,0.02,0.41,0.01,6047.86,5463.07,872.52,151514.59,155661.55,60485.52,241.55,83.97,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.07,1.00,479.37,277.58,277.58,277.52,277.59,0.15,0.34,0.54,0
