time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-08 15:45:00",0,0,0,353219.78,353246.97,27.20,19104.45,2517.49,0.47,12515.73,371036.81,371467.75,430.93,5.91,-0.45,5.92,1.00,340.36,182.77,8.08,60.01,5.60,-0.40,5.62,28.67,0.52,28.67,-15.96,-1.61,15.96,145712.20,148923.67,58611.09,4.68,4.36,18.17,7428.49,8924.47,2751.50,240.09,81.62,2195.79,0.02,0.44,0.01,6097.35,5545.86,872.52,152348.09,156630.44,60485.52,242.07,84.02,2197.47,2.74,3.17,0,-0.16,-0.29,0,2.74,3.18,0,1.00,1.00,1.00,472.89,274.69,273.51,273.47,274.70,0.15,11.29,12.80,0.14
"2023-11-08 16:00:00",0,0,0,353221.44,353248.63,27.20,19104.45,2517.49,0.47,12515.85,371038.53,371469.47,430.93,6.61,-0.46,6.62,1.00,341.19,183.23,8.87,60.01,6.03,-0.47,6.04,28.67,0.52,28.67,-15.96,-1.61,15.96,145712.97,148924.56,58611.09,4.68,4.36,18.17,7428.49,8924.47,2751.50,240.09,81.62,2195.79,0.02,0.44,0.01,6097.40,5545.93,872.52,152348.86,156631.33,60485.52,242.07,84.02,2197.47,3.22,3.45,0,-0.18,-0.29,0,3.23,3.39,0,1.00,1.00,1.00,474.02,275.49,274.07,274.03,275.49,0.15,12.95,13.51,0.15
"2023-11-08 16:15:00",0,0,0,353223.47,353250.66,27.20,19104.45,2517.49,0.47,12515.99,371040.53,371471.47,430.93,8.54,-0.56,8.56,1.00,340.93,183.08,11.14,60.02,7.29,-0.52,7.30,28.67,0.52,28.67,-15.96,-1.61,15.96,145713.91,148925.64,58611.09,4.68,4.36,18.17,7428.49,8924.47,2751.50,240.09,81.62,2195.79,0.02,0.44,0.01,6097.45,5546.02,872.52,152349.80,156632.42,60485.52,242.07,84.02,2197.47,3.97,4.57,0,-0.20,-0.36,0,3.97,4.59,0,1.00,1.00,1.00,473.66,275.35,273.76,273.73,275.37,0.15,15.54,17.70,0.19
