time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-28 23:45:00",0,0,0,350969.38,350996.56,27.17,18969.95,2516.81,0.44,12335.16,368654.50,369085.34,430.85,2.43,-0.13,2.44,1.00,346.08,185.78,3.33,60.01,3.37,-0.19,3.37,28.67,0.52,28.67,-15.96,-1.61,15.96,144657.03,147728.44,58611.09,4.66,4.35,18.17,7377.92,8840.53,2751.50,239.43,81.59,2195.79,0.02,0.41,0.01,6028.47,5434.18,872.52,151242.09,155353.47,60485.52,241.40,83.96,2197.47,1.12,1.31,0,-0.06,-0.06,0,1.12,1.32,0,1.00,1.00,1.00,480.99,278.97,278.27,278.21,278.98,0.15,4.60,5.31,0.07
"2023-09-29 00:00:00",0,0,0,350969.63,350996.81,27.17,18969.96,2516.81,0.44,12335.17,368654.78,369085.63,430.85,0.72,0.03,0.72,1.00,346.01,185.71,1.65,59.89,1.86,-0.08,1.87,28.67,0.52,28.67,-15.96,-1.61,15.96,144657.16,147728.58,58611.09,4.66,4.35,18.17,7377.92,8840.54,2751.50,239.43,81.59,2195.79,0.02,0.41,0.01,6028.47,5434.18,872.52,151242.22,155353.63,60485.52,241.40,83.96,2197.47,0.33,0.40,0,-0.00,0.03,0,0.33,0.40,0,1.00,1.00,1.00,481.07,278.69,278.40,278.36,278.69,0.15,2.28,2.66,0.04
"2023-09-29 00:15:00",0,0,0,350969.88,350997.06,27.17,18969.96,2516.81,0.44,12335.18,368655.00,369085.84,430.85,0.62,0.04,0.62,1.00,346.01,185.71,1.58,59.97,0.94,0.00,0.94,28.67,0.52,28.67,-15.96,-1.61,15.96,144657.25,147728.72,58611.09,4.66,4.35,18.17,7377.92,8840.54,2751.50,239.43,81.59,2195.79,0.02,0.41,0.01,6028.47,5434.19,872.52,151242.31,155353.75,60485.52,241.40,83.96,2197.47,0.22,0.40,0,0.00,0.03,0,0.22,0.40,0,1.00,1.00,1.00,481.02,278.55,278.47,278.41,278.57,0.15,2.04,2.67,0.04
