time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-10-13 18:30:00",0,0,0,351999.56,352026.75,27.18,19016.43,2517.11,0.44,12428.61,369732.22,370163.09,430.88,12.56,-1.12,12.61,1.00,345.74,185.79,15.79,60.03,9.23,-0.88,9.26,28.67,0.52,28.67,-15.96,-1.61,15.96,145142.95,148272.69,58611.09,4.66,4.35,18.17,7395.36,8869.57,2751.50,239.72,81.60,2195.79,0.02,0.41,0.01,6065.51,5490.58,872.52,151746.23,155927.25,60485.52,241.70,83.98,2197.47,6.09,6.47,0,-0.46,-0.66,0,6.11,6.51,0,1.00,0.99,1.00,479.97,279.34,277.91,277.87,279.35,0.15,23.15,23.95,0.26
"2023-10-13 18:45:00",0,0,0,352002.63,352029.81,27.18,19016.43,2517.11,0.44,12428.89,369735.31,370166.19,430.88,12.80,-1.14,12.85,1.00,345.50,185.63,16.08,59.98,12.27,-1.11,12.32,28.67,0.52,28.67,-15.96,-1.61,15.96,145144.44,148274.28,58611.09,4.66,4.35,18.17,7395.36,8869.57,2751.50,239.72,81.60,2195.79,0.02,0.41,0.01,6065.62,5490.75,872.52,151747.70,155928.86,60485.52,241.70,83.98,2197.47,6.34,6.47,0,-0.48,-0.66,0,6.35,6.50,0,1.00,0.99,1.00,479.66,279.11,277.64,277.59,279.14,0.15,24.04,23.94,0.26
"2023-10-13 19:00:00",0,0,0,352005.81,352033.00,27.18,19016.43,2517.11,0.44,12429.17,369738.53,370169.41,430.88,13.19,-1.14,13.24,1.00,345.86,185.84,16.50,59.95,12.35,-1.12,12.40,28.67,0.52,28.67,-15.96,-1.61,15.96,145146.02,148275.89,58611.09,4.66,4.35,18.17,7395.36,8869.57,2751.50,239.72,81.60,2195.79,0.02,0.41,0.01,6065.74,5490.91,872.52,151749.30,155930.47,60485.52,241.70,83.98,2197.47,6.73,6.47,0,-0.48,-0.65,0,6.74,6.50,0,1.00,0.99,1.00,480.20,279.17,278.21,278.16,279.19,0.15,25.35,23.90,0.27
