time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-17 17:45:00",0,0,0,350313.13,350340.28,27.17,18937.05,2516.63,0.43,12280.56,367965.34,368396.16,430.83,11.44,-0.92,11.48,1.00,346.61,186.18,14.47,60.01,5.76,-0.50,5.78,28.67,0.52,28.67,-15.96,-1.61,15.96,144343.98,147385.19,58611.09,4.65,4.35,18.17,7365.58,8819.98,2751.50,239.26,81.58,2195.79,0.02,0.40,0.01,6006.89,5401.15,872.52,150916.45,154989.77,60485.52,241.23,83.95,2197.47,5.24,6.15,0,-0.37,-0.55,0,5.28,6.20,0,1.00,1.00,1.00,481.42,279.94,278.47,278.43,279.94,0.15,20.24,22.90,0.27
"2023-09-17 18:00:00",0,0,0,350315.19,350342.34,27.17,18937.05,2516.63,0.43,12280.74,367967.44,368398.25,430.83,6.04,-0.55,6.06,1.00,345.75,185.66,7.93,60.01,9.07,-0.76,9.10,28.67,0.52,28.67,-15.96,-1.61,15.96,144344.95,147386.30,58611.09,4.65,4.35,18.17,7365.58,8819.98,2751.50,239.26,81.58,2195.79,0.02,0.40,0.01,6006.96,5401.26,872.52,150917.42,154990.89,60485.52,241.23,83.95,2197.47,2.81,3.23,0,-0.20,-0.35,0,2.82,3.25,0,1.00,0.99,1.00,480.42,278.99,277.89,277.83,279.01,0.15,11.05,12.58,0.15
"2023-09-17 18:15:00",0,0,0,350317.00,350344.16,27.17,18937.05,2516.63,0.43,12280.89,367969.25,368400.06,430.83,7.63,-0.68,7.66,1.00,345.37,185.51,9.87,60.02,6.44,-0.59,6.47,28.67,0.52,28.67,-15.96,-1.61,15.96,144345.77,147387.27,58611.09,4.65,4.35,18.17,7365.58,8819.98,2751.50,239.26,81.58,2195.79,0.02,0.40,0.01,6007.02,5401.36,872.52,150918.25,154991.86,60485.52,241.23,83.95,2197.47,3.50,4.13,0,-0.25,-0.43,0,3.51,4.15,0,1.00,0.99,1.00,479.67,278.84,277.59,277.52,278.86,0.15,13.66,15.75,0.19
