time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-11 08:30:00",0,0,0,353335.03,353362.22,27.20,19113.52,2517.60,0.47,12524.97,371161.03,371591.97,430.94,0.01,0.24,0.24,0.05,345.57,185.47,0.30,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145765.66,148985.47,58611.09,4.68,4.36,18.17,7431.89,8930.14,2751.50,240.19,81.62,2195.79,0.02,0.44,0.01,6100.92,5551.53,872.52,152404.95,156697.73,60485.52,242.17,84.02,2197.47,0.00,0.01,0,0.10,0.15,0,0.10,0.15,0,0.03,0.07,1.00,480.41,278.00,278.30,278.25,278.02,0.15,0.36,0.55,0
"2023-11-11 08:45:00",0,0,0,353335.03,353362.22,27.20,19113.58,2517.60,0.47,12524.97,371161.09,371592.03,430.94,0.01,0.23,0.24,0.04,345.27,185.31,0.30,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145765.66,148985.47,58611.09,4.68,4.36,18.17,7431.91,8930.18,2751.50,240.19,81.62,2195.79,0.02,0.44,0.01,6100.92,5551.53,872.52,152404.97,156697.77,60485.52,242.17,84.02,2197.47,0.00,0.01,0,0.09,0.15,0,0.09,0.15,0,0.05,0.07,1.00,480.02,277.95,277.63,277.58,277.96,0.15,0.33,0.55,0.01
"2023-11-11 09:00:00",0,0,0,353335.03,353362.22,27.20,19113.64,2517.60,0.47,12524.97,371161.16,371592.09,430.94,0.01,0.23,0.23,0.06,345.51,185.40,0.30,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145765.66,148985.47,58611.09,4.68,4.36,18.17,7431.93,8930.21,2751.50,240.19,81.62,2195.79,0.02,0.44,0.01,6100.92,5551.53,872.52,152404.98,156697.81,60485.52,242.17,84.02,2197.47,0.00,0.01,0,0.09,0.15,0,0.09,0.15,0,0.05,0.07,1.00,480.43,278.19,277.91,277.86,278.19,0.15,0.33,0.54,0.01
