time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-10-19 23:00:00",0,0,0,352316.59,352343.78,27.19,19036.00,2517.30,0.45,12457.08,370068.88,370499.75,430.88,3.26,-0.30,3.27,1.00,343.73,184.50,4.34,59.89,4.18,-0.38,4.20,28.67,0.52,28.67,-15.96,-1.61,15.96,145290.66,148442.02,58611.09,4.67,4.35,18.17,7402.69,8881.82,2751.50,239.91,81.60,2195.79,0.02,0.42,0.01,6076.12,5508.44,872.52,151901.38,156108.81,60485.52,241.88,83.98,2197.47,1.51,1.75,0,-0.09,-0.20,0,1.51,1.76,0,1.00,0.99,1.00,477.80,276.99,276.41,276.36,276.99,0.15,6.13,6.81,0.09
"2023-10-19 23:15:00",0,0,0,352317.31,352344.50,27.19,19036.00,2517.30,0.45,12457.14,370069.56,370500.44,430.88,2.32,-0.23,2.33,1.00,343.65,184.46,3.30,59.95,3.22,-0.29,3.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145290.98,148442.41,58611.09,4.67,4.35,18.17,7402.69,8881.82,2751.50,239.91,81.60,2195.79,0.02,0.42,0.01,6076.13,5508.49,872.52,151901.69,156109.17,60485.52,241.88,83.98,2197.47,1.07,1.25,0,-0.06,-0.16,0,1.07,1.26,0,1.00,0.99,1.00,477.75,276.91,276.59,276.53,276.93,0.15,4.73,5.10,0.07
"2023-10-19 23:30:00",0,0,0,352317.75,352344.94,27.19,19036.00,2517.30,0.45,12457.19,370070.03,370500.91,430.88,1.44,-0.14,1.45,1.00,343.95,184.62,2.38,60.01,2.29,-0.22,2.30,28.67,0.52,28.67,-15.96,-1.61,15.96,145291.20,148442.66,58611.09,4.67,4.35,18.17,7402.69,8881.82,2751.50,239.91,81.60,2195.79,0.02,0.42,0.01,6076.15,5508.52,872.52,151901.89,156109.44,60485.52,241.88,83.98,2197.47,0.67,0.78,0,-0.02,-0.12,0,0.67,0.79,0,1.00,0.99,1.00,478.11,276.96,276.79,276.74,276.96,0.15,3.49,3.59,0.06
