time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-26 21:30:00",0,0,0,354074.28,354101.50,27.22,19168.22,2518.56,0.49,12589.27,371955.03,372386.00,430.97,7.17,-0.64,7.20,1.00,347.11,186.45,9.23,60.01,8.03,-0.69,8.06,28.67,0.52,28.67,-15.96,-1.61,15.96,146108.81,149381.58,58611.09,4.69,4.36,18.17,7452.15,8964.58,2751.50,241.14,81.63,2195.79,0.02,0.45,0.01,6125.54,5591.21,872.52,152768.53,157127.72,60485.52,243.12,84.05,2197.47,3.31,3.86,0,-0.24,-0.40,0,3.32,3.88,0,1.00,0.99,1.00,482.07,280.37,278.87,278.83,280.38,0.15,12.90,14.63,0.16
"2023-11-26 21:45:00",0,0,0,354075.91,354103.13,27.22,19168.22,2518.56,0.49,12589.42,371956.69,372387.66,430.97,6.25,-0.58,6.27,1.00,347.40,186.58,8.17,60.01,7.28,-0.64,7.31,28.67,0.52,28.67,-15.96,-1.61,15.96,146109.58,149382.47,58611.09,4.69,4.36,18.17,7452.15,8964.58,2751.50,241.14,81.63,2195.79,0.02,0.45,0.01,6125.60,5591.31,872.52,152769.30,157128.61,60485.52,243.12,84.05,2197.47,2.89,3.36,0,-0.22,-0.37,0,2.89,3.38,0,1.00,0.99,1.00,482.58,280.33,279.29,279.25,280.36,0.15,11.45,12.93,0.14
"2023-11-26 22:00:00",0,0,0,354077.34,354104.56,27.22,19168.22,2518.56,0.49,12589.56,371958.13,372389.09,430.97,5.24,-0.44,5.26,1.00,346.48,186.08,6.77,60.02,6.31,-0.58,6.34,28.67,0.52,28.67,-15.96,-1.61,15.96,146110.23,149383.23,58611.09,4.69,4.36,18.17,7452.15,8964.58,2751.50,241.14,81.63,2195.79,0.02,0.45,0.01,6125.65,5591.39,872.52,152769.97,157129.39,60485.52,243.12,84.05,2197.47,2.43,2.81,0,-0.11,-0.32,0,2.43,2.83,0,1.00,0.99,1.00,481.24,279.71,278.30,278.26,279.72,0.15,9.19,11.01,0.12
