time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-22 16:15:00",0,0,0,350647.41,350674.56,27.17,18951.73,2516.70,0.43,12307.39,368314.34,368745.19,430.84,11.02,-0.92,11.06,1.00,347.56,186.68,13.93,60.01,9.29,-0.79,9.32,28.67,0.52,28.67,-15.96,-1.61,15.96,144504.63,147558.86,58611.09,4.66,4.35,18.17,7371.10,8829.14,2751.50,239.32,81.58,2195.79,0.02,0.40,0.01,6017.81,5417.06,872.52,151082.78,155172.56,60485.52,241.30,83.95,2197.47,5.10,5.91,0,-0.40,-0.52,0,5.12,5.94,0,1.00,1.00,1.00,482.73,280.68,279.26,279.21,280.69,0.15,19.66,21.91,0.23
"2023-09-22 16:30:00",0,0,0,350649.19,350676.34,27.17,18951.73,2516.70,0.43,12307.53,368316.13,368746.97,430.84,4.58,-0.40,4.60,1.00,347.03,186.30,6.08,60.01,9.06,-0.74,9.09,28.67,0.52,28.67,-15.96,-1.61,15.96,144505.45,147559.78,58611.09,4.66,4.35,18.17,7371.10,8829.14,2751.50,239.32,81.58,2195.79,0.02,0.40,0.01,6017.87,5417.15,872.52,151083.59,155173.52,60485.52,241.30,83.95,2197.47,2.12,2.47,0,-0.12,-0.26,0,2.13,2.48,0,1.00,0.99,1.00,482.30,279.87,278.93,278.87,279.89,0.15,8.15,9.97,0.12
"2023-09-22 16:45:00",0,0,0,350650.56,350677.72,27.17,18951.73,2516.70,0.43,12307.66,368317.50,368748.34,430.84,5.29,-0.44,5.31,1.00,346.97,186.28,6.89,59.93,5.49,-0.49,5.52,28.67,0.52,28.67,-15.96,-1.61,15.96,144506.09,147560.52,58611.09,4.66,4.35,18.17,7371.10,8829.14,2751.50,239.32,81.58,2195.79,0.02,0.40,0.01,6017.91,5417.23,872.52,151084.23,155174.25,60485.52,241.30,83.95,2197.47,2.47,2.82,0,-0.13,-0.31,0,2.47,2.84,0,1.00,0.99,1.00,482.16,279.85,278.89,278.83,279.88,0.15,9.35,11.19,0.13
