time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-10-31 19:30:00",0,0,0,353002.16,353029.34,27.19,19076.11,2517.41,0.46,12502.93,370793.00,371223.91,430.91,12.42,-0.77,12.44,1.00,343.22,184.36,16.02,59.92,9.34,-0.62,9.36,28.67,0.52,28.67,-15.96,-1.61,15.96,145611.75,148806.48,58611.09,4.67,4.35,18.17,7417.86,8906.75,2751.50,240.01,81.61,2195.79,0.02,0.43,0.01,6093.13,5537.29,872.52,152237.45,156497.13,60485.52,241.98,84.00,2197.47,5.95,6.47,0,-0.30,-0.47,0,5.96,6.49,0,1.00,1.00,1.00,476.70,277.26,275.69,275.65,277.28,0.15,23.51,24.31,0.25
"2023-10-31 19:45:00",0,0,0,353003.53,353030.72,27.19,19076.11,2517.41,0.46,12503.01,370794.41,371225.31,430.91,3.94,-0.12,3.94,1.00,340.89,182.95,5.30,59.89,9.27,-0.61,9.29,28.67,0.52,28.67,-15.96,-1.61,15.96,145612.39,148807.23,58611.09,4.67,4.35,18.17,7417.86,8906.75,2751.50,240.01,81.61,2195.79,0.02,0.43,0.01,6093.16,5537.33,872.52,152238.09,156497.89,60485.52,241.98,84.00,2197.47,1.82,2.12,0,-0.06,-0.06,0,1.82,2.12,0,1.00,1.00,1.00,473.95,274.82,273.91,273.87,274.83,0.15,7.40,8.41,0.10
"2023-10-31 20:00:00",0,0,0,353005.44,353032.63,27.19,19076.11,2517.41,0.46,12503.13,370796.31,371227.22,430.91,12.26,-0.79,12.29,1.00,343.53,184.50,15.77,60.01,5.21,-0.25,5.22,28.67,0.52,28.67,-15.96,-1.61,15.96,145613.28,148808.27,58611.09,4.67,4.35,18.17,7417.86,8906.75,2751.50,240.01,81.61,2195.79,0.02,0.43,0.01,6093.20,5537.41,872.52,152238.98,156498.92,60485.52,241.98,84.00,2197.47,5.81,6.45,0,-0.31,-0.48,0,5.82,6.47,0,1.00,1.00,1.00,477.26,277.64,275.69,275.64,277.66,0.19,22.82,24.23,0.25
