time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-19 05:45:00",0,0,0,353618.97,353646.19,27.21,19141.38,2518.08,0.48,12549.56,371472.50,371903.44,430.95,0.01,0.24,0.24,0.04,346.35,185.89,0.30,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145897.09,149138.00,58611.09,4.68,4.36,18.17,7442.20,8947.69,2751.50,240.66,81.62,2195.79,0.02,0.45,0.01,6110.07,5566.98,872.52,152546.64,156867.27,60485.52,242.64,84.04,2197.47,0.00,0.01,0,0.09,0.15,0,0.09,0.15,0,0.03,0.05,1.00,481.50,278.99,278.58,278.53,278.99,0.15,0.35,0.56,0
"2023-11-19 06:00:00",0,0,0,353619.00,353646.22,27.21,19141.44,2518.08,0.48,12549.56,371472.56,371903.50,430.95,0.01,0.23,0.24,0.06,346.73,186.10,0.30,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145897.09,149138.00,58611.09,4.68,4.36,18.17,7442.22,8947.73,2751.50,240.66,81.62,2195.79,0.02,0.45,0.01,6110.07,5566.98,872.52,152546.66,156867.30,60485.52,242.65,84.04,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.02,0.08,1.00,482.02,279.60,278.93,278.89,279.61,0.15,0.34,0.52,0
"2023-11-19 06:15:00",0,0,0,353619.00,353646.22,27.21,19141.50,2518.08,0.48,12549.56,371472.63,371903.56,430.95,0.01,0.24,0.24,0.06,346.67,186.07,0.30,59.95,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145897.09,149138.00,58611.09,4.68,4.36,18.17,7442.24,8947.76,2751.50,240.67,81.62,2195.79,0.02,0.45,0.01,6110.07,5566.98,872.52,152546.67,156867.33,60485.52,242.65,84.04,2197.47,0.00,0.01,0,0.09,0.15,0,0.09,0.15,0,0.03,0.07,1.00,481.94,279.31,278.77,278.72,279.33,0.15,0.35,0.55,0
