time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-14 21:15:00",0,0,0,353510.56,353537.78,27.20,19125.48,2517.77,0.48,12540.26,371348.59,371779.53,430.94,8.19,-0.77,8.23,1.00,349.13,187.53,10.42,60.02,8.94,-0.84,8.98,28.67,0.52,28.67,-15.96,-1.61,15.96,145847.08,149079.59,58611.09,4.68,4.36,18.17,7436.35,8937.63,2751.50,240.36,81.62,2195.79,0.02,0.44,0.01,6106.75,5560.99,872.52,152490.89,156799.28,60485.52,242.34,84.03,2197.47,3.79,4.40,0,-0.26,-0.51,0,3.80,4.43,0,1.00,0.99,1.00,485.14,282.17,280.26,280.22,282.18,0.15,14.54,16.51,0.18
"2023-11-14 21:30:00",0,0,0,353512.50,353539.72,27.20,19125.48,2517.77,0.48,12540.45,371350.59,371781.53,430.94,7.41,-0.74,7.45,1.00,348.03,186.91,9.54,59.99,8.28,-0.79,8.31,28.67,0.52,28.67,-15.96,-1.61,15.96,145847.98,149080.64,58611.09,4.68,4.36,18.17,7436.35,8937.63,2751.50,240.36,81.62,2195.79,0.02,0.44,0.01,6106.82,5561.11,872.52,152491.80,156800.34,60485.52,242.34,84.03,2197.47,3.43,3.98,0,-0.27,-0.47,0,3.44,4.01,0,1.00,0.99,1.00,483.47,281.22,279.39,279.36,281.23,0.15,13.36,15.10,0.16
"2023-11-14 21:45:00",0,0,0,353514.28,353541.50,27.20,19125.48,2517.77,0.48,12540.63,371352.31,371783.25,430.94,6.53,-0.67,6.57,0.99,346.16,185.91,8.56,60.01,7.51,-0.75,7.55,28.67,0.52,28.67,-15.96,-1.61,15.96,145848.81,149081.58,58611.09,4.68,4.36,18.17,7436.35,8937.63,2751.50,240.36,81.62,2195.79,0.02,0.44,0.01,6106.89,5561.23,872.52,152492.59,156801.28,60485.52,242.34,84.03,2197.47,3.02,3.51,0,-0.26,-0.41,0,3.03,3.54,0,1.00,0.99,1.00,480.87,279.45,278.15,278.10,279.47,0.15,11.98,13.55,0.14
