time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-03 01:30:00",0,0,0,353058.59,353085.78,27.19,19083.63,2517.43,0.47,12505.87,370856.38,371287.28,430.92,0.01,0.22,0.22,0.06,342.94,184.02,0.28,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145637.84,148836.84,58611.09,4.67,4.35,18.17,7420.67,8911.46,2751.50,240.02,81.61,2195.79,0.02,0.43,0.01,6094.12,5539.23,872.52,152266.22,156531.75,60485.52,242.00,84.01,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.13,0,0.04,0.08,1.00,476.87,276.06,275.90,275.84,276.08,0.15,0.33,0.51,0
"2023-11-03 01:45:00",0,0,0,353058.59,353085.78,27.19,19083.68,2517.43,0.47,12505.87,370856.41,371287.31,430.92,0.01,0.23,0.23,0.06,342.91,183.93,0.29,60.02,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145637.84,148836.86,58611.09,4.67,4.35,18.17,7420.69,8911.49,2751.50,240.02,81.61,2195.79,0.02,0.43,0.01,6094.12,5539.23,872.52,152266.23,156531.78,60485.52,242.00,84.01,2197.47,0.00,0.01,0,0.09,0.14,0,0.09,0.14,0,0.03,0.08,1.00,477.03,275.85,275.84,275.78,275.87,0.15,0.34,0.53,0
"2023-11-03 02:00:00",0,0,0,353058.59,353085.78,27.19,19083.74,2517.43,0.47,12505.87,370856.47,371287.38,430.92,0.01,0.24,0.24,0.03,342.87,183.97,0.30,60.01,0.01,0.23,0.23,28.67,0.52,28.67,-15.96,-1.61,15.96,145637.84,148836.86,58611.09,4.67,4.35,18.17,7420.71,8911.53,2751.50,240.02,81.61,2195.79,0.02,0.43,0.01,6094.12,5539.23,872.52,152266.27,156531.81,60485.52,242.00,84.01,2197.47,-0.00,0.01,0,0.10,0.14,0,0.10,0.14,0,-0.01,0.06,1.00,476.80,275.84,275.98,275.94,275.83,0.15,0.36,0.54,0
