time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-26 20:00:00",0,0,0,354060.94,354088.16,27.22,19168.22,2518.56,0.49,12588.13,371941.66,372372.63,430.97,10.45,-0.87,10.49,1.00,350.09,188.14,13.11,60.01,10.89,-0.91,10.92,28.67,0.52,28.67,-15.96,-1.61,15.96,146102.64,149374.42,58611.09,4.69,4.36,18.17,7452.15,8964.58,2751.50,241.14,81.63,2195.79,0.02,0.45,0.01,6125.09,5590.53,872.52,152762.36,157120.52,60485.52,243.12,84.05,2197.47,4.84,5.62,0,-0.38,-0.50,0,4.86,5.65,0,1.00,1.00,1.00,486.03,282.98,281.32,281.28,283.00,0.15,18.52,20.63,0.21
"2023-11-26 20:15:00",0,0,0,354063.34,354090.56,27.22,19168.22,2518.56,0.49,12588.34,371944.13,372375.09,430.97,9.83,-0.87,9.87,1.00,349.88,187.96,12.44,59.99,10.43,-0.89,10.47,28.67,0.52,28.67,-15.96,-1.61,15.96,146103.77,149375.72,58611.09,4.69,4.36,18.17,7452.15,8964.58,2751.50,241.14,81.63,2195.79,0.02,0.45,0.01,6125.18,5590.65,872.52,152763.48,157121.83,60485.52,243.12,84.05,2197.47,4.55,5.28,0,-0.38,-0.49,0,4.56,5.30,0,1.00,1.00,1.00,485.86,282.54,281.23,281.19,282.55,0.15,17.67,19.45,0.20
"2023-11-26 20:30:00",0,0,0,354065.78,354093.00,27.22,19168.22,2518.56,0.49,12588.56,371946.56,372377.53,430.97,9.61,-0.87,9.65,1.00,350.28,188.16,12.21,59.88,9.57,-0.83,9.60,28.67,0.52,28.67,-15.96,-1.61,15.96,146104.89,149377.03,58611.09,4.69,4.36,18.17,7452.15,8964.58,2751.50,241.14,81.63,2195.79,0.02,0.45,0.01,6125.27,5590.77,872.52,152764.61,157123.14,60485.52,243.12,84.05,2197.47,4.45,5.17,0,-0.38,-0.49,0,4.46,5.19,0,1.00,1.00,1.00,486.49,282.86,281.49,281.45,282.87,0.15,17.36,19.08,0.20
