time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-11-15 19:00:00",0,0,0,353524.97,353552.19,27.20,19128.96,2517.82,0.48,12541.70,371366.41,371797.34,430.95,1.04,-0.12,1.05,0.99,344.03,184.65,1.88,60.01,1.37,-0.15,1.38,28.67,0.52,28.67,-15.96,-1.61,15.96,145853.72,149087.36,58611.09,4.68,4.36,18.17,7437.66,8939.81,2751.50,240.41,81.62,2195.79,0.02,0.44,0.01,6107.16,5562.02,872.52,152498.80,156809.16,60485.52,242.39,84.03,2197.47,0.48,0.56,0,-0.02,-0.10,0,0.48,0.57,0,1.00,0.99,1.00,478.24,277.30,276.54,276.49,277.30,0.15,2.63,2.95,0.05
"2023-11-15 19:15:00",0,0,0,353525.19,353552.41,27.20,19128.96,2517.82,0.48,12541.72,371366.63,371797.56,430.95,0.94,-0.10,0.94,0.99,343.59,184.50,1.79,60.02,1.03,-0.12,1.03,28.67,0.52,28.67,-15.96,-1.61,15.96,145853.81,149087.48,58611.09,4.68,4.36,18.17,7437.66,8939.81,2751.50,240.41,81.62,2195.79,0.02,0.44,0.01,6107.17,5562.04,872.52,152498.89,156809.27,60485.52,242.39,84.03,2197.47,0.44,0.50,0,-0.01,-0.09,0,0.44,0.51,0,1.00,0.99,1.00,477.56,277.00,276.25,276.20,277.02,0.15,2.52,2.79,0.04
"2023-11-15 19:30:00",0,0,0,353525.38,353552.59,27.20,19128.96,2517.82,0.48,12541.75,371366.84,371797.78,430.95,0.73,-0.08,0.74,0.99,344.30,184.85,1.65,60.09,0.83,-0.10,0.83,28.67,0.52,28.67,-15.96,-1.61,15.96,145853.91,149087.59,58611.09,4.68,4.36,18.17,7437.66,8939.81,2751.50,240.41,81.62,2195.79,0.02,0.44,0.01,6107.17,5562.06,872.52,152498.98,156809.39,60485.52,242.39,84.03,2197.47,0.34,0.39,0,-0.01,-0.07,0,0.34,0.40,0,1.00,0.98,1.00,478.45,277.62,276.81,276.76,277.63,0.15,2.31,2.59,0.04
