time(UTC),error,lowalarm,highalarm,"Accumulated Real Energy Net (kWh)","Real Energy Quadrants 1 & 4, Import (kWh)","Real Energy Quadrants 2 & 3, Export (kWh)","Reactive Energy Quadrant 1 (VARh)","Reactive Energy Quadrant 2 (VARh)","Reactive Energy Quadrant 3 (VARh)","Reactive Energy Quadrant 4 (VARh)","Apparent Energy Net (VAh)","Apparent Energy Quadrants 1 & 4 (VAh)","Apparent Energy Quadrants 2 & 3 (VAh)","Total Net Instantaneous Real Power (kW)","Total Net Instantaneous Reactive Power (kVAR)","Total Net Instantaneous Apparent Power (kVA)","Total Power Factor","Voltage, L-L, 3p Ave (Volts)","Voltage, L-N, 3p Ave (Volts)","Current, 3p Ave (Amps)","Frequency (Hz)","Total Real Power Present Demand (kW)","Total Reactive Power Present Demand (kVAR)","Total Apparent Power Present Demand (kVA)","Total Real Power Max Demand, Import (kW)","Total Reactive Power Max Demand, Import (kVAR)","Total Apparent Power Max Demand, Import (kVA)","Total Real Power Max Demand, Export (kW)","Total Reactive Power Max Demand, Export (kVAR)","Total Apparent Power Max Demand, Export (kVA)","Accumulated Real Energy, Phase A, Import (kW)","Accumulated Real Energy, Phase B, Import (kW)","Accumulated Real Energy, Phase C, Import (kW)","Accumulated Real Energy, Phase A, Export (kW)","Accumulated Real Energy, Phase B, Export (kW)","Accumulated Real Energy, Phase C, Export (kW)","Accumulated Q1 Reactive Energy, Phase A, Import (VARh)","Accumulated Q1 Reactive Energy, Phase B, Import (VARh)","Accumulated Q1 Reactive Energy, Phase C, Import (VARh)","Accumulated Q2 Reactive Energy, Phase A, Import (VARh)","Accumulated Q2 Reactive Energy, Phase B, Import (VARh)","Accumulated Q2 Reactive Energy, Phase C, Import (VARh)","Accumulated Q3 Reactive Energy, Phase A, Export (VARh)","Accumulated Q3 Reactive Energy, Phase B, Export (VARh)","Accumulated Q3 Reactive Energy, Phase C, Export (VARh)","Accumulated Q4 Reactive Energy, Phase A, Export (VARh)","Accumulated Q4 Reactive Energy, Phase B, Export (VARh)","Accumulated Q4 Reactive Energy, Phase C, Export (VARh)","Accumulated Apparent Energy, Phase A, Import (VAh)","Accumulated Apparent Energy, Phase B, Import (VAh)","Accumulated Apparent Energy, Phase C, Import (VAh)","Accumulated Apparent Energy, Phase A, Export (VAh)","Accumulated Apparent Energy, Phase B, Export (VAh)","Accumulated Apparent Energy, Phase C, Export (VAh)","Real Power, Phase A (kW)","Real Power, Phase B (kW)","Real Power, Phase C (kW)","Reactive Power, Phase A (kVAR)","Reactive Power, Phase B (kVAR)","Reactive Power, Phase C (kVAR)","Apparent Power, Phase A (kVA)","Apparent Power, Phase B (kVA)","Apparent Power, Phase C (kVA)","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B (Volts)","Voltage, Phase B-C (Volts)","Voltage, Phase A-C (Volts)","Voltage, Phase A-N (Volts)","Voltage, Phase B-N (Volts)","Voltage, Phase C-N (Volts)","Current, Phase A (Amps)","Current, Phase B (Amps)","Current, Phase C (Amps)"
"2023-09-20 18:30:00",0,0,0,350541.50,350568.66,27.17,18945.89,2516.67,0.43,12298.31,368202.63,368633.47,430.83,1.61,-0.12,1.61,1.00,347.03,186.24,2.51,60.07,1.62,-0.12,1.62,28.67,0.52,28.67,-15.96,-1.61,15.96,144454.45,147503.11,58611.09,4.66,4.35,18.17,7368.90,8825.49,2751.50,239.29,81.58,2195.79,0.02,0.40,0.01,6014.21,5411.58,872.52,151030.36,155113.19,60485.52,241.26,83.95,2197.47,0.75,0.86,0,-0.02,-0.11,0,0.75,0.87,0,1.00,0.99,1.00,482.48,279.97,278.65,278.60,279.97,0.15,3.53,3.95,0.06
"2023-09-20 18:45:00",0,0,0,350541.88,350569.03,27.17,18945.89,2516.67,0.43,12298.34,368202.97,368633.81,430.83,1.38,-0.11,1.38,1.00,346.60,186.00,2.34,60.01,1.55,-0.12,1.55,28.67,0.52,28.67,-15.96,-1.61,15.96,144454.63,147503.31,58611.09,4.66,4.35,18.17,7368.90,8825.49,2751.50,239.29,81.58,2195.79,0.02,0.40,0.01,6014.22,5411.61,872.52,151030.52,155113.41,60485.52,241.26,83.95,2197.47,0.64,0.74,0,-0.01,-0.10,0,0.64,0.75,0,1.00,0.99,1.00,481.90,279.62,278.27,278.23,279.63,0.15,3.28,3.68,0.05
"2023-09-20 19:00:00",0,0,0,350542.19,350569.34,27.17,18945.89,2516.67,0.43,12298.37,368203.25,368634.09,430.83,0.73,-0.05,0.73,1.00,345.97,185.66,1.77,60.02,1.38,-0.11,1.39,28.67,0.52,28.67,-15.96,-1.61,15.96,144454.77,147503.47,58611.09,4.66,4.35,18.17,7368.90,8825.49,2751.50,239.29,81.58,2195.79,0.02,0.40,0.01,6014.22,5411.63,872.52,151030.66,155113.56,60485.52,241.26,83.95,2197.47,0.34,0.39,0,0.01,-0.06,0,0.34,0.40,0,1.00,0.99,1.00,481.04,278.93,277.94,277.89,278.93,0.15,2.50,2.78,0.04
